glue_weight,item_id,x1_dist,x2_dist,y1_dist,y2_dist,station_id,time
8.1406803,14350,1.9542382,2.0670457,1.9525768,1.9451959,-1,3588
7.8741527,7167,2.0077453,2.0857856,2.0655332,2.0489779,2,3588
7.9777622,7170,1.9738116,1.9757876,2.0510731,2.0119398,1,3588
8.192647,7171,1.9162543,2.0265093,1.9794322,2.0192084,0,3588
8.114748,14351,2.0364699,2.0817633,2.0913327,2.0769768,-1,3588
8.049386,14354,2.0499034,2.0086148,2.0503221,1.9245094,-1,3589
7.9777622,7170,1.9738116,1.9757876,2.0510731,2.0119398,2,3589
8.192647,7171,1.9162543,2.0265093,1.9794322,2.0192084,1,3589
7.8978353,7174,2.0383797,2.0380177,2.0633631,2.0884764,0,3589
7.8812313,14355,2.0478082,2.0366051,1.9493052,2.0203412,-1,3589
8.1154776,14358,1.9454763,1.9276712,2.0793383,2.0895593,-1,3590
8.192647,7171,1.9162543,2.0265093,1.9794322,2.0192084,2,3590
7.8978353,7174,2.0383797,2.0380177,2.0633631,2.0884764,1,3590
7.9303946,7175,2.0091665,1.9187032,2.0411401,2.0812981,0,3590
8.1446886,14359,2.0309105,1.9468786,2.0483284,1.9478129,-1,3590
8.2052279,14362,2.0962031,1.9443475,1.9016092,1.9516655,-1,3591
7.8978353,7174,2.0383797,2.0380177,2.0633631,2.0884764,2,3591
7.9303946,7175,2.0091665,1.9187032,2.0411401,2.0812981,1,3591
7.8971257,7178,1.9936931,1.9698192,2.0253313,1.9639466,0,3591
7.9225435,14363,1.9761354,2.0145879,1.9150399,2.0530691,-1,3591
7.8115664,14366,2.00422,1.9977549,2.0947242,1.9177279,-1,3592
7.9303946,7175,2.0091665,1.9187032,2.0411401,2.0812981,2,3592
7.8971257,7178,1.9936931,1.9698192,2.0253313,1.9639466,1,3592
7.5664773,7179,1.9855683,2.0705907,2.0468237,1.9122618,0,3592
8.0316277,14367,1.9728522,1.9701234,1.9681548,1.9832435,-1,3592
8.2902641,14370,1.9650773,1.9134241,2.0317717,2.0612516,-1,3593
7.8971257,7178,1.9936931,1.9698192,2.0253313,1.9639466,2,3593
7.5664773,7179,1.9855683,2.0705907,2.0468237,1.9122618,1,3593
8.1376915,7182,2.0602531,1.9787297,1.9485315,1.9629192,0,3593
7.9916983,14371,1.9961905,1.9465754,1.9032316,2.0097225,-1,3593
8.2932405,14374,1.9796029,2.086518,1.9679413,1.9851403,-1,3594
